sentence_id,lang_a,lang_b,similarity
5350,English,Sinhala,0.9039
5351,English,Sinhala,0.8521
5352,English,Sinhala,0.9393
5353,English,Sinhala,0.9173
5354,English,Sinhala,0.8772
5355,English,Sinhala,0.9507
5356,English,Sinhala,0.9349
5357,English,Sinhala,0.8743
5358,English,Sinhala,0.9414
5359,English,Sinhala,0.8682
5360,English,Sinhala,0.9185
5361,English,Sinhala,0.8925
5362,English,Sinhala,0.9133
5363,English,Sinhala,0.7844
5364,English,Sinhala,0.929
5365,English,Sinhala,0.917
5366,English,Sinhala,0.9303
5367,English,Sinhala,0.9293
5368,English,Sinhala,0.8537
5369,English,Sinhala,0.8872
5370,English,Sinhala,0.7977
5371,English,Sinhala,0.8952
5372,English,Sinhala,0.9746
5373,English,Sinhala,0.929
5374,English,Sinhala,0.9233
5375,English,Sinhala,0.9424
5376,English,Sinhala,0.9482
5377,English,Sinhala,0.9426
5378,English,Sinhala,0.9514
5379,English,Sinhala,0.9415
5380,English,Sinhala,0.9247
5381,English,Sinhala,0.9199
5382,English,Sinhala,0.8868
5383,English,Sinhala,0.9485
5384,English,Sinhala,0.8423
5385,English,Sinhala,0.8701
5386,English,Sinhala,0.8824
5387,English,Sinhala,0.9633
5388,English,Sinhala,0.9419
5389,English,Sinhala,0.9327
5390,English,Sinhala,0.9002
5391,English,Sinhala,0.8799
5392,English,Sinhala,0.9595
5393,English,Sinhala,0.9493
5394,English,Sinhala,0.7843
5395,English,Sinhala,0.8743
5396,English,Sinhala,0.9221
5397,English,Sinhala,0.8998
5398,English,Sinhala,0.9022
5399,English,Sinhala,0.9194
5400,English,Kyrgyz,0.8415
5401,English,Kyrgyz,0.8201
5402,English,Kyrgyz,0.9234
5403,English,Kyrgyz,0.9632
5404,English,Kyrgyz,0.8475
5405,English,Kyrgyz,1.0
5406,English,Kyrgyz,0.8901
5407,English,Kyrgyz,0.8276
5408,English,Kyrgyz,0.8641
5409,English,Kyrgyz,0.8886
5410,English,Kyrgyz,0.8247
5411,English,Kyrgyz,1.0
5412,English,Kyrgyz,0.9116
5413,English,Kyrgyz,0.9528
5414,English,Kyrgyz,0.9478
5415,English,Kyrgyz,0.8824
5416,English,Kyrgyz,0.9322
5417,English,Kyrgyz,0.816
5418,English,Kyrgyz,0.8135
5419,English,Kyrgyz,0.88
5420,English,Kyrgyz,0.8971
5421,English,Kyrgyz,0.8736
5422,English,Kyrgyz,0.9019
