sentence_id,noise_type,similarity_to_clean
170,code_switch,0.9489
171,char_noise,0.9756
171,word_shuffle,0.9831
171,code_switch,0.8294
172,char_noise,0.9778
172,word_shuffle,0.9798
172,code_switch,0.9703
173,char_noise,0.9702
173,word_shuffle,0.9875
173,code_switch,0.9848
174,char_noise,0.9586
174,word_shuffle,0.9534
174,code_switch,0.9455
175,char_noise,0.9568
175,word_shuffle,0.9826
175,code_switch,0.9457
176,char_noise,0.9179
176,word_shuffle,0.9975
176,code_switch,0.9863
177,char_noise,0.9826
177,word_shuffle,0.9806
177,code_switch,0.9611
178,char_noise,0.999
178,word_shuffle,0.9828
178,code_switch,0.9928
179,char_noise,0.9778
179,word_shuffle,0.9822
179,code_switch,0.9575
180,char_noise,0.9643
180,word_shuffle,0.9771
180,code_switch,0.9511
181,char_noise,0.9581
181,word_shuffle,0.957
181,code_switch,0.933
182,char_noise,1.0
182,word_shuffle,0.9951
182,code_switch,0.9434
183,char_noise,0.9893
183,word_shuffle,0.9917
183,code_switch,0.9716
184,char_noise,0.9634
184,word_shuffle,0.966
184,code_switch,0.9296
185,char_noise,1.0
185,word_shuffle,0.9747
185,code_switch,0.993
186,char_noise,0.9713
186,word_shuffle,0.9869
186,code_switch,0.97
187,char_noise,0.9612
187,word_shuffle,0.9651
187,code_switch,0.9148
188,char_noise,0.9402
188,word_shuffle,0.957
188,code_switch,0.9194
189,char_noise,0.8626
189,word_shuffle,1.0
189,code_switch,1.0
190,char_noise,0.9494
190,word_shuffle,0.9828
190,code_switch,0.9822
191,char_noise,0.9824
191,word_shuffle,0.9936
191,code_switch,1.0
192,char_noise,0.98
192,word_shuffle,0.9883
192,code_switch,0.9166
193,char_noise,0.9242
193,word_shuffle,0.9894
193,code_switch,0.9706
194,char_noise,0.957
194,word_shuffle,0.987
194,code_switch,0.981
195,char_noise,0.9698
195,word_shuffle,0.9522
195,code_switch,0.959
196,char_noise,0.9725
196,word_shuffle,0.9768
196,code_switch,0.9339
197,char_noise,1.0
197,word_shuffle,1.0
197,code_switch,0.7965
198,char_noise,0.9687
198,word_shuffle,0.9622
198,code_switch,0.9458
199,char_noise,0.9106
199,word_shuffle,0.9845
199,code_switch,0.9206
200,char_noise,0.9531
200,word_shuffle,0.9751
200,code_switch,0.9802
201,char_noise,0.9863
201,word_shuffle,0.9695
201,code_switch,0.9712
202,char_noise,1.0
202,word_shuffle,0.9443
202,code_switch,0.9545
203,char_noise,0.9135
203,word_shuffle,1.0
203,code_switch,1.0
204,char_noise,0.9085
204,word_shuffle,0.9795
204,code_switch,0.9108
205,char_noise,1.0
205,word_shuffle,0.9827
205,code_switch,0.9843
206,char_noise,0.9805
206,word_shuffle,0.9681
206,code_switch,0.9353
207,char_noise,0.9656
207,word_shuffle,0.9792
207,code_switch,0.9603
208,char_noise,0.96
208,word_shuffle,0.9967
208,code_switch,0.9699
209,char_noise,0.9584
209,word_shuffle,0.9784
209,code_switch,0.958
210,char_noise,0.961
210,word_shuffle,0.9615
210,code_switch,0.9373
211,char_noise,0.965
211,word_shuffle,0.978
211,code_switch,0.96
212,char_noise,0.9079
212,word_shuffle,0.9875
212,code_switch,1.0
213,char_noise,0.9618
213,word_shuffle,0.987
213,code_switch,0.9575
214,char_noise,0.956
214,word_shuffle,0.9812
214,code_switch,0.8881
215,char_noise,0.9846
215,word_shuffle,0.9559
215,code_switch,0.8875
216,char_noise,0.9653
216,word_shuffle,0.9864
216,code_switch,0.9227
217,char_noise,0.9864
217,word_shuffle,0.985
217,code_switch,0.8979
218,char_noise,0.9511
218,word_shuffle,0.9802
218,code_switch,0.951
219,char_noise,0.9502
219,word_shuffle,0.9559
219,code_switch,0.9477
220,char_noise,1.0
220,word_shuffle,1.0
220,code_switch,1.0
221,char_noise,0.9394
221,word_shuffle,0.9863
221,code_switch,0.906
222,char_noise,0.9703
222,word_shuffle,0.9712
222,code_switch,0.9379
223,char_noise,0.9512
223,word_shuffle,0.9567
223,code_switch,0.9476
224,char_noise,0.9249
224,word_shuffle,0.9752
224,code_switch,0.9413
225,char_noise,0.9673
225,word_shuffle,0.9892
225,code_switch,0.9744
226,char_noise,0.9989
226,word_shuffle,0.969
226,code_switch,0.9399
227,char_noise,0.9934
227,word_shuffle,0.9914
227,code_switch,0.8769
228,char_noise,0.9563
228,word_shuffle,0.9626
228,code_switch,0.961
229,char_noise,1.0
229,word_shuffle,0.9717
229,code_switch,1.0
230,char_noise,1.0
230,word_shuffle,0.9664
230,code_switch,0.9469
231,char_noise,0.984
231,word_shuffle,0.9541
231,code_switch,0.9158
232,char_noise,0.9342
232,word_shuffle,0.928
232,code_switch,0.974
233,char_noise,0.9951
233,word_shuffle,0.9692
233,code_switch,0.9642
234,char_noise,0.966
234,word_shuffle,0.9919
234,code_switch,0.9618
235,char_noise,0.9819
235,word_shuffle,0.9552
235,code_switch,0.9358
236,char_noise,0.9698
236,word_shuffle,0.9703
236,code_switch,0.9658
237,char_noise,0.9554
237,word_shuffle,0.9593
237,code_switch,0.9423
238,char_noise,0.9732
238,word_shuffle,0.9917
238,code_switch,0.9348
239,char_noise,0.9846
239,word_shuffle,0.9609
239,code_switch,0.9549
240,char_noise,1.0
240,word_shuffle,0.9724
240,code_switch,0.9326
241,char_noise,0.9129
241,word_shuffle,0.9639
241,code_switch,0.947
242,char_noise,0.9832
242,word_shuffle,0.9743
242,code_switch,0.9489
243,char_noise,0.9668
243,word_shuffle,0.9927
243,code_switch,0.9819
244,char_noise,0.9732
244,word_shuffle,0.9795
244,code_switch,0.9626
245,char_noise,0.9641
245,word_shuffle,0.9766
245,code_switch,0.9826
246,char_noise,0.963
246,word_shuffle,0.9882
246,code_switch,0.9662
247,char_noise,0.984
247,word_shuffle,0.9833
247,code_switch,0.9645
248,char_noise,0.9779
248,word_shuffle,0.9778
248,code_switch,0.945
249,char_noise,0.9599
249,word_shuffle,0.9731
249,code_switch,0.9092
250,char_noise,0.9712
250,word_shuffle,0.9756
250,code_switch,0.9384
251,char_noise,0.9774
251,word_shuffle,0.9834
251,code_switch,0.9669
252,char_noise,0.9443
252,word_shuffle,0.9834
252,code_switch,0.9656
253,char_noise,0.9897
253,word_shuffle,0.9768
253,code_switch,0.9536
254,char_noise,0.9872
254,word_shuffle,0.9696
254,code_switch,0.9837
255,char_noise,0.9561
255,word_shuffle,0.9822
255,code_switch,0.9684
256,char_noise,0.9812
256,word_shuffle,0.9796
256,code_switch,0.9521
257,char_noise,0.9156
257,word_shuffle,0.9853
257,code_switch,0.9561
258,char_noise,0.9672
258,word_shuffle,0.9881
258,code_switch,0.9669
259,char_noise,0.9757
259,word_shuffle,0.9856
259,code_switch,0.9728
260,char_noise,0.9301
260,word_shuffle,0.9668
260,code_switch,0.9355
261,char_noise,0.9799
261,word_shuffle,0.9875
261,code_switch,0.9491
262,char_noise,0.9657
262,word_shuffle,0.9928
262,code_switch,0.9436
263,char_noise,0.9574
263,word_shuffle,0.9553
263,code_switch,0.9764
264,char_noise,0.9453
264,word_shuffle,0.9741
264,code_switch,0.9777
265,char_noise,0.9759
265,word_shuffle,0.9716
265,code_switch,0.9485
266,char_noise,0.9218
266,word_shuffle,0.9853
266,code_switch,0.9448
267,char_noise,0.9542
267,word_shuffle,0.9721
267,code_switch,0.9386
268,char_noise,0.9706
268,word_shuffle,0.9606
268,code_switch,0.9561
269,char_noise,0.9259
269,word_shuffle,0.9824
269,code_switch,0.9526
270,char_noise,0.9617
270,word_shuffle,0.9879
270,code_switch,0.9179
271,char_noise,0.9486
271,word_shuffle,0.9623
271,code_switch,0.9622
272,char_noise,0.962
272,word_shuffle,1.0
272,code_switch,1.0
273,char_noise,1.0
273,word_shuffle,0.9529
273,code_switch,0.94
274,char_noise,0.9525
274,word_shuffle,0.9628
274,code_switch,1.0
275,char_noise,0.9472
275,word_shuffle,0.9829
275,code_switch,0.9169
276,char_noise,0.9573
276,word_shuffle,0.975
276,code_switch,0.9766
277,char_noise,0.9614
277,word_shuffle,0.9455
277,code_switch,0.9352
278,char_noise,1.0
278,word_shuffle,0.9772
278,code_switch,1.0
279,char_noise,0.9472
279,word_shuffle,0.9712
279,code_switch,0.9269
280,char_noise,0.9512
280,word_shuffle,0.9913
280,code_switch,0.955
281,char_noise,0.9884
281,word_shuffle,0.9811
281,code_switch,0.9637
282,char_noise,0.9801
282,word_shuffle,0.9912
282,code_switch,0.9248
283,char_noise,0.9473
283,word_shuffle,0.9726
283,code_switch,0.9336
284,char_noise,0.9629
284,word_shuffle,0.9778
284,code_switch,0.9697
285,char_noise,0.9613
285,word_shuffle,0.9896
285,code_switch,0.9034
286,char_noise,0.9834
286,word_shuffle,0.9832
286,code_switch,0.9306
287,char_noise,0.9673
287,word_shuffle,0.9858
287,code_switch,0.9468
288,char_noise,0.963
288,word_shuffle,0.9735
288,code_switch,1.0
289,char_noise,0.9837
289,word_shuffle,0.9685
289,code_switch,0.9827
290,char_noise,0.9711
290,word_shuffle,0.9625
290,code_switch,0.9409
291,char_noise,0.9635
291,word_shuffle,0.9791
291,code_switch,0.9196
292,char_noise,0.8829
292,word_shuffle,0.9955
292,code_switch,0.9664
293,char_noise,0.965
293,word_shuffle,0.9719
293,code_switch,0.9472
294,char_noise,0.9454
294,word_shuffle,0.9654
294,code_switch,0.9278
295,char_noise,0.9695
295,word_shuffle,0.9649
295,code_switch,0.9549
296,char_noise,0.9482
296,word_shuffle,0.9769
296,code_switch,0.9382
297,char_noise,0.943
297,word_shuffle,0.9754
297,code_switch,0.9463
298,char_noise,0.9318
298,word_shuffle,0.9919
298,code_switch,0.9564
299,char_noise,1.0
299,word_shuffle,0.9611
299,code_switch,0.9656
300,char_noise,0.9718
300,word_shuffle,0.9631
300,code_switch,0.9267
