sentence_id,lang,similarity
413,Chinese,0.8683
414,Chinese,0.8737
415,Chinese,0.9063
416,Chinese,0.8879
417,Chinese,0.8522
418,Chinese,0.9361
419,Chinese,0.9191
420,Chinese,0.9306
421,Chinese,0.8986
422,Chinese,0.9522
423,Chinese,0.8443
424,Chinese,0.8453
425,Chinese,0.8364
426,Chinese,0.899
427,Chinese,0.8945
428,Chinese,0.8932
429,Chinese,0.9446
430,Chinese,0.8572
431,Chinese,0.8428
432,Chinese,0.8784
433,Chinese,0.8925
434,Chinese,0.8358
435,Chinese,0.8755
436,Chinese,0.9137
437,Chinese,0.8475
438,Chinese,0.8692
439,Chinese,0.8556
440,Chinese,0.7725
441,Chinese,0.8606
442,Chinese,0.8826
443,Chinese,0.8731
444,Chinese,0.8847
445,Chinese,0.8909
446,Chinese,0.8515
447,Chinese,0.8985
448,Chinese,0.797
449,Chinese,0.888
450,Chinese,0.9045
451,Chinese,0.8687
452,Chinese,0.9189
453,Chinese,0.8884
454,Chinese,0.8674
455,Chinese,0.8505
456,Chinese,0.8822
457,Chinese,0.8094
458,Chinese,0.8971
459,Chinese,0.8935
460,Chinese,0.921
461,Chinese,0.9195
462,Chinese,0.9172
463,Chinese,0.8953
464,Chinese,0.8906
465,Chinese,0.8297
466,Chinese,0.8883
467,Chinese,0.8448
468,Chinese,0.8828
469,Chinese,0.8796
470,Chinese,0.8885
471,Chinese,0.9344
472,Chinese,0.9112
473,Chinese,1.0
474,Chinese,0.8553
475,Chinese,0.8741
476,Chinese,0.8928
477,Chinese,0.8702
478,Chinese,0.845
479,Chinese,0.9209
480,Chinese,0.8837
481,Chinese,0.9003
482,Chinese,0.8825
483,Chinese,0.8916
484,Chinese,0.8855
485,Chinese,0.8585
486,Chinese,0.8615
487,Chinese,0.8603
488,Chinese,0.8607
489,Chinese,0.8706
490,Chinese,0.8854
491,Chinese,0.8695
492,Chinese,0.7791
493,Chinese,0.9286
494,Chinese,0.8171
495,Chinese,0.9215
496,Chinese,0.848
497,Chinese,0.8822
498,Chinese,0.8768
499,Chinese,0.896
500,Chinese,0.8752
501,Chinese,0.8867
502,Chinese,0.898
503,Chinese,0.8578
504,Chinese,0.8896
505,Chinese,0.9289
506,Chinese,0.8395
507,Chinese,0.7945
508,Chinese,0.8747
509,Chinese,0.858
510,Chinese,0.9532
511,Chinese,0.8814
512,Chinese,0.857
513,Chinese,0.7819
514,Chinese,0.8756
515,Chinese,0.8996
516,Chinese,0.9061
517,Chinese,0.8546
518,Chinese,0.8627
519,Chinese,0.8586
520,Chinese,0.8429
521,Chinese,0.8524
522,Chinese,0.8746
523,Chinese,0.8793
524,Chinese,0.8464
525,Chinese,0.9315
526,Chinese,0.917
527,Chinese,0.78
528,Chinese,0.8634
529,Chinese,0.921
530,Chinese,0.9356
531,Chinese,0.8884
532,Chinese,0.8959
533,Chinese,0.8643
534,Chinese,0.8686
535,Chinese,0.9039
536,Chinese,0.9365
537,Chinese,0.8872
538,Chinese,0.8868
539,Chinese,0.8711
540,Chinese,0.7854
541,Chinese,0.8323
542,Chinese,0.8708
543,Chinese,0.8575
544,Chinese,0.9081
545,Chinese,0.8946
546,Chinese,0.9081
547,Chinese,0.879
548,Chinese,0.8418
549,Chinese,0.8975
550,Chinese,0.8972
551,Chinese,0.8616
